query,provider,latitude,longitude,display
"RUA SORBONE, 16 - FUNDOS - CENTREVILLE - São Carlos/SP - CEP 13560-760",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA SILVERIO IGNARRA SOBRINHO, 250 - VILA MONTEIRO - São Carlos/SP - CEP 13560-294",nominatim,-22.0260594,-47.8884512,"Rua Silvério Ignarra Sobrinho, Vila Monteiro Gleba I, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-294, Brasil"
"AVENIDA SAO CARLOS, 778 - VILA LUTFALLA - São Carlos/SP - CEP 13570-660",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA MARCOLINO LOPES BARRETO, 3013 - VILA COSTA DO SOL - São Carlos/SP - CEP 13566-210",nominatim,-22.0055221,-47.8820544,"Rua Coronel Marcolino Lopes Barreto, Chácara São Caetano, Vila Elisabeth, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13566-050, Brasil"
"RUA FLAUZINO MARQUES, 215 - JARDIM ALVORADA - São Carlos/SP - CEP 13562-002",nominatim,-22.0078432,-47.9079933,"Rua Flauzino Marques, Jardim Alvorada, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13561-250, Brasil"
"RODOVIA ENGENHEIRO THALES DE LORENA PEIXOTO JUNIOR (SP 318), S/N - KM    246 - DISTRITO DE AGUA VERMELHA - São Carlos/SP - CEP 13578-000",nominatim,-21.8788022,-47.8567619,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"AVENIDA MORUMBI, 1251 - SALA  02,ALTOS - JARDIM MORUMBI - São Carlos/SP - CEP 13572-000",arcgis,-22.04310292283,-47.885779406845,"Avenida Morumbi 1251, Vila Morumbi, São Carlos, São Paulo, 13572-000"
"RUA MARECHAL DEODORO, 1547 - SALA  02 - CENTRO - São Carlos/SP - CEP 13560-200",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA JESUINO DE ARRUDA, 1517 - JARDIM SAO CARLOS - São Carlos/SP - CEP 13560-642",nominatim,-22.0195217,-47.8774398,"Rua Jesuino de Arruda, Jardim Cardinali, Loteamento D'Aquino, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13569-000, Brasil"
"RUA CELIO BARBOSA DA SILVA, 150 - JD STA PAULA - São Carlos/SP - CEP 13564-060",arcgis,-22.00044298172,-47.904041971967,"Rua Celio Barbosa Da Silva 150, São Carlos, São Paulo, 13564-060"
